millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
202589,1758488587.40,-804.69,1283.81,892.65,
202988,1758488587.80,-444.03,1066.15,871.75,
203413,1758488588.20,-196.50,1009.84,700.37,
203809,1758488588.60,-75.08,1016.91,418.14,
204188,1758488589.00,-209.18,842.05,202.52,
204588,1758488589.40,-408.35,507.99,125.88,
204989,1758488589.80,-578.95,83.22,186.23,
205389,1758488590.20,-737.40,-306.91,321.77,
205789,1758488590.60,-790.52,-694.35,335.49,
206189,1758488591.00,-726.49,-888.84,300.75,
206589,1758488591.40,-690.26,-924.78,291.71,
206990,1758488591.80,-675.98,-766.90,121.55,
207391,1758488592.20,-648.07,-472.51,-61.01,
207788,1758488592.60,-502.36,-403.63,-96.85,
208189,1758488593.00,-249.11,-466.94,84.04,
208590,1758488593.40,-66.31,-553.42,268.44,
208989,1758488593.80,102.10,-623.29,335.96,
209389,1758488594.20,316.31,-661.85,276.46,
209790,1758488594.60,456.19,-690.06,249.87,
210190,1758488595.00,609.09,-675.74,167.50,
210592,1758488595.40,707.80,-594.84,-94.10,
210991,1758488595.80,714.61,-460.88,-255.33,
211390,1758488596.20,601.16,-336.90,-443.29,
211794,1758488596.60,347.39,-239.44,-613.39,
212190,1758488597.00,62.07,-198.32,-746.97,
212591,1758488597.40,-212.12,-300.63,-775.11,
212992,1758488597.80,-288.88,-402.12,-641.12,
213387,1758488598.20,-205.18,-582.70,-484.55,
213789,1758488598.60,-54.94,-558.64,-393.82,
214189,1758488599.00,-112.57,-732.34,-258.04,
214592,1758488599.40,-92.30,-1077.05,-9.97,
214992,1758488599.80,5.48,-1400.96,330.10,
215393,1758488600.20,285.04,-1568.96,378.85,
215791,1758488600.60,567.44,-1456.93,254.13,
216191,1758488601.00,632.79,-1153.66,-17.25,
216591,1758488601.40,613.08,-734.76,-268.18,
216992,1758488601.80,418.44,-247.75,-349.60,
217391,1758488602.20,147.86,169.75,-330.38,
217792,1758488602.60,-26.12,521.79,-376.94,
218192,1758488603.00,-103.73,682.00,-280.75,
218592,1758488603.40,-178.20,651.16,-237.01,
218991,1758488603.80,-233.11,615.37,-174.17,
219389,1758488604.20,-225.22,558.65,-100.58,
219790,1758488604.60,-90.81,470.47,-26.84,
220191,1758488605.00,-9.53,242.16,41.13,
220592,1758488605.40,-63.63,21.31,32.47,
220992,1758488605.80,-209.82,9.53,-7.00,
221393,1758488606.20,-395.98,164.78,-75.60,
221792,1758488606.60,-351.36,253.00,11.95,
222195,1758488607.00,-243.56,203.05,190.76,
222593,1758488607.40,-26.15,-39.10,428.98,
222994,1758488607.80,213.96,-248.77,731.62,
223420,1758488608.20,467.01,-477.63,879.26,
223793,1758488608.60,648.58,-716.32,750.83,
224193,1758488609.00,722.59,-841.50,595.71,
224594,1758488609.40,662.26,-673.33,341.14,
224994,1758488609.80,479.37,-355.51,48.31,
225404,1758488610.20,307.75,10.12,-211.08,
225795,1758488610.60,57.17,457.46,-310.15,
226196,1758488611.00,-69.22,778.08,-283.57,
226592,1758488611.40,-47.72,757.90,-242.25,
226993,1758488611.80,0.78,647.11,-49.39,
227394,1758488612.20,69.88,513.44,95.62,
227795,1758488612.60,123.52,314.42,139.15,
228193,1758488613.00,72.25,248.21,97.46,
228593,1758488613.40,44.15,190.35,45.33,
228992,1758488613.80,65.50,188.42,-13.29,
229394,1758488614.20,65.14,198.91,12.56,
229795,1758488614.60,199.15,268.90,-2.60,
230196,1758488615.00,407.35,220.28,50.60,
230595,1758488615.40,548.46,257.75,48.35,
230994,1758488615.80,555.96,263.84,28.36,
231394,1758488616.20,440.06,294.26,-27.87,
231795,1758488616.60,272.48,276.92,-102.16,
232198,1758488617.00,51.27,106.77,-119.57,
232599,1758488617.40,-86.99,-216.52,77.13,
232996,1758488617.80,-125.47,-374.95,229.39,
233395,1758488618.20,-128.69,-381.32,245.90,
233796,1758488618.60,-149.15,-315.20,84.88,
234196,1758488619.00,-243.71,-158.01,-240.31,
234597,1758488619.40,-425.89,184.35,-498.77,
234993,1758488619.80,-370.16,535.39,-669.89,
235393,1758488620.20,-458.67,440.09,-970.22,
235791,1758488620.60,-736.39,-27.86,-1207.37,
236192,1758488621.00,-1251.05,-43.95,-1413.00,
236595,1758488621.40,-604.36,1030.08,-1426.95,
236993,1758488621.80,-377.06,380.15,-1056.81,
237398,1758488622.20,194.25,-681.96,-435.74,
237794,1758488622.60,358.87,-1293.46,249.21,
238196,1758488623.00,772.52,-1693.44,363.13,
238597,1758488623.40,872.91,-1846.87,86.23,
238995,1758488623.80,1114.64,-1138.08,106.10,
239395,1758488624.20,824.87,-608.20,-12.62,
239798,1758488624.60,478.37,-347.27,69.55,
240199,1758488625.00,396.75,-92.34,176.29,
240597,1758488625.40,-94.37,-110.91,278.15,
240997,1758488625.80,-508.52,-2.19,278.18,
